name,city,phone,postal code,street,region,website,email,country,zone
Speedy Reedy,Seattle,(206) 632-9879,98103,1300 N Northlake Way,WA,,,USA,USA
Center Cycle,Renton,(425) 228-3661,98057,3950 Lind Avenue Southwest,WA,,,USA,USA
Spokes Etc,Alexandria,(703) 820-2200,22302,1545 North Quaker Lane,VA,,,USA,USA
Bikes Unlimited,Williamsburg,(757) 229-4620,23185,141 Monticello Ave,VA,,,USA,USA
Spokes Etc,Vienna,(703) 281-2004,22180,224 Maple Avenue East,VA,,,USA,USA
A-1 Cycling,Herndon,(703) 793-0400,20171,2451-I3 Centreville Road,VA,,,USA,USA
Spokes Etc.,Alexandria,(703) 765-8005,22307,1506 Belle View Boulevard,VA,,,USA,USA
Black Bar Bicycles,Winchester,(540) 535-0188,22601,3113 Valley Ave # 112,VA,,,USA,USA
Just the Right Gear,Salem,(540) 384-7800,24153,2265 Catawba Valley Drive,VA,,,USA,USA
Revolution Cycles,Arlington,(703) 312-0007,22201,2731 Wilson Boulevard,VA,,,USA,USA
Bikebeat,Williamsburg,(757) 229-0096,23081,4640 9b Monticello Ave,VA,,,USA,USA
Endorphin Fitness,Richmond,(804) 741-1599,23229,8910 Patterson Ave,VA,,,USA,USA
REI Plano,Plano,(972) 985-2241,75093,2424 Preston Road,TX,,,USA,USA
Cycology Bicycles,Maryville,(865) 681-4183,37804,2408 East Lamar Alexander Parkway,TN,,,USA,USA
Lone Star Bicycles,Houston,(281) 256-1090,77058,18240 Nassau Bay Dr.,TX,,,USA,USA
Bicycle Sport Shop,Austin,(512) 477-3472,78704,517 South Lamar Boulevard,TX,,,USA,USA
Border Sports,El Paso,(915) 351-3515,79905,220 North Copia Street,TX,,,USA,USA
Fort Worth Cycling and Fitness,Fort Worth,(817) 244-7911,76116,3315 South Cherry Lane,TX,,,USA,USA
Bicycle World,Houston,(281) 556-0923,77079,14536 Memorial Drive,TX,,,USA,USA
Cycle Spectrum,Dallas,(281) 583-5466,75238,9848 Robin Hill Ln,TX,,,USA,USA
Richardson Bike Mart,Richardson,(972) 231-3993,75080,1451 West Campbell Road,TX,,,USA,USA
Sugar Cycles,Missouri City,(281) 261-2900,77459,5330 Hwy 6 Ste. 108,TX,,,USA,USA
Cumberland Transit,Nashville,(615) 321-4069,37203,2807 West End Ave # C,TN,,,USA,USA
Peddler Bicycle Shop,Memphis,(901) 327-4833,38111,575 South Highland Street,TN,,,USA,USA
Buck's Bikes Superstore,Austin,(512) 250-9550,78759,12530 Research Boulevard,TX,,,USA,USA
Transit Bikes???,Dallas,(214) 219-2453,75204,3839 McKinney Avenue #155,TX,,,USA,USA
Texoma Cycling Center,Wichita Falls,(940) 723-7230,76306,502 Wichita Street,TX,,,USA,USA
Bicycle World,Harlingen,(956) 423-3168,78550,1113 South 77 Sunshine Strip,TX,,,USA,USA
Bike City,San Antonio,(210) 348-8080,78216,7115 Blanco Road # 112,TX,,,USA,USA
Bikeland,Shenandoah,(281) 362-9253,77385,19189 Interstate 45 S # B,TX,,,USA,USA
Crazy Cat Cyclery,El Paso,(915) 577-9666,79902,2625 North Mesa St # B,TX,,,USA,USA
Shama Cycles,Houston,(713) 812-7794,77055,1110 North Post Oak Road,TX,,,USA,USA
Bike Barn,Houston,(713) 869-7100,77007,5411 Darling Street,TX,,,USA,USA
Jack and Adam's Bicycles,Austin,(512) 472-5646,78704,1210 Barton Springs Road,TX,,,USA,USA
Bicycle Heaven,San Antonio,(210) 494-0035,78213,1931 NW Military,TX,,,USA,USA
Ride Away Bicycles,San Antonio,(210) 495-2453,78232,2838 N Loop 1604 E # 104.,TX,,,USA,USA
Rockwall Cycling,Rockwall,(972) 771-8297,75032,832 Steger Towne Road,TX,,,USA,USA
Britton Bicycle Shop,San Antonio,(210) 656-1655,78232,16636 San Pedro Avenue,TX,,,USA,USA
REI Tacoma,Tacoma,(253) 671-1938,98409,3825 S Steele St,WA,,,USA,USA
Stadium Bike,Green Bay,(920) 499-3400,54303,2150 W Mason St,WI,,,USA,USA
Brone's Bike Shop,Fountain City,(608) 687-8601,54629,615 S Main St # 35,WI,,,USA,USA
Machinery Row Bicycles,Madison,(608) 442-5974,53703,601 Williamson Street,WI,,,USA,USA
REI Spokane,Spokane,(509) 328-9900,99201,1125 N Monroe St,WA,,,USA,USA
REI Southcenter-Tukwila,Tukwila,(206) 248-1938,98188,240 Andover Park W,WA,,,USA,USA
REI Olympia,Olympia,(360) 786-1938,98502,625 Black Lake Boulevard Southwest,WA,,,USA,USA
REI Kennewick,Kennewick,(509) 734-8989,99336,129 N Ely St,WA,,,USA,USA
REI Issaquah,Issaquah,(425) 313-1660,98027,735 Northwest Gilman Blvd,WA,,,USA,USA
REI Bellingham,Bellingham,(360) 647-8955,98225,400 36th St,WA,,,USA,USA
Crank Worx Bike Shop,River Falls,(715) 629-7246,54022,122 S Main St,WI,,,USA,USA
Atkins Verona Bicycle Shoppe,Verona,(608) 845-6644,53593,517 Half Mile Road,WI,,,USA,USA
REI Seattle Flagship,Seattle,(206) 223-1944,98109,222 Yale Ave N,WA,,,USA,USA
REI Madison,Madison,(608) 833-6680,53719,7483 W Towne Way,WI,,,USA,USA
REI Brookfield,Brookfield,(262) 783-6150,53005,13100 W Capitol Dr,WI,,,USA,USA
Eau Claire Bike and Sport,Eau Claire,(715) 832-6149,54703,403 Water Street,WI,,,USA,USA
Wheel and Sprocket,Delafield,(262) 646-6300,53018,528 Wells Street,WI,,,USA,USA
REI Alderwood,Lynnwood,(425) 640-6200,98037,3000 184th St SW Ste 952,WA,,,USA,USA
Melonbike,Oklahoma City,405-602-3310,73107,3021 North Portland Avenue,OK,,,USA,USA
New River Bikes,Fayetteville,(304) 574-2453,25840,221 North Court Street,WV,,,USA,USA
Cronometro,Madison,(608) 243-7760,53703,1402 Williamson Street,WI,,,USA,USA
Alpha Bikes,Alpharetta,770-410-1928,30009,11770 Haynes Bridge Road,GA,,,USA,USA
Bike Effect,Santa Monica,(310) 393-4348,90401,910 Broadway #100,CA,,,USA,USA
Blue Sky Cycling,Huntington Park,1-800-585-4137,90255,2530 Randolph St.,CA,,,USA,USA
Moab Cyclery,Moab,(800) 559-1978,84532,391 South Main Street,UT,,,USA,USA
2nd Ave Sports,Durango,970-247-4511,81301,600 E 2nd Ave,CO,,,USA,USA
Over The Edge in Hurricane,Hurricane,435-635-5455,84737,76 East 100 South,UT,,,USA,USA
"Routes Rentals &#038; Tours, Inc",Albuquerque,505-933-5667,87102,1102 Mountain Rd NW,NM,,,USA,USA
Charleston Bicycle Center,Charleston,(304) 925-8348,25304,409 53rd Street Southeast,WV,,,USA,USA
Liberty Lake Cycle Sports,Liberty Lake,(509) 893-2453,99019,1318 North Liberty Lake Road,WA,,,USA,USA
REI Redmond Town Center,Redmond,(425) 882-1158,98052,7500 166th Ave NE,WA,,,USA,USA
Herriott Sports Performance,Seattle,(206) 816-3436,98109,101 Nickerson St # 150,WA,,,USA,USA
Montlake Bike Shop,Seattle,(206) 329-7333,98112,2223 24th Avenue East,WA,,,USA,USA
Branford Bike,Seattle,(206) 323-1218,98102,2404 10th Avenue East,WA,,,USA,USA
Bicycle Center,Everett,(425) 337-3509,98203,4704 Evergreen Way # A,WA,,,USA,USA
South Lyon Cycle,South Lyon,248-437-0500,48178,209 S. Lafayette,MI,,,USA,USA
Greyhair Bike Repair,Green River,(307) 875-1445,82935,1500 North Riverbend Drive,WY,,,USA,USA
Rock On Wheels,Cheyenne,(307) 637-0020,82001,900 East Lincolnway,WY,,,USA,USA
Big Poppi Bicycle Company,Manhattan,(785) 537-3737,66502,1126 Moro St,KS,,,USA,USA
DJBennett,Washington,(202) 524-4488,20015,5335 Wisconsin Ave. NW,DC,,,USA,USA
Mac's Harpeth Bikes,Franklin,615.472.1002,37064,1110 Hillsboro Rd B230,TN,,,USA,USA
Cycle Logic,San Antonio,210-490-8251,78247,12319 Wetmore Road,TX,http://www.cyclelogicbikeshop.com,,USA,USA
Salvagetti Bicycle Shop,Denver,(303) 691-5595,80211,3800 Irving St.,CO,,,USA,USA
Martin's Bicycle,Dundee,607-243-7167,14837,4912 John Green Rd,NY,,,USA,USA
The Bicycle Doctor,Norcross,770-825-0080,30071,"2910 Cole Court, Suite D",GA,,,USA,USA
Ben’s Cycle & Fitness,Milwaukee,1.888.275.5111,53215,1018 W. Lincoln Ave,WI,http://www.benscycle.com,,USA,USA
Art’s Cyclery,San Luis Obispo,1-800-626-3440,93401,181 Suburban Road,CA,http://www.artscyclery.com/,,USA,USA
2 Wheeler Dealer Bicycles,Brea,(714) 671-1730,92821,1039 E. Imperial Hwy.  #F-3,CA,,,USA,USA
University Bicycle Center ,Tampa,813 971-2277,33612,1220 E. Fletcher Ave,FL,www.ubcbike.com,ubc@ubcbike.com,USA,USA
Element Cycles,Redmond,425-881-8442,98052,8215 160th Ave. NE,WA,http://www.elementcycles.net,info@elementcycles.net,USA,USA
Fenix Cycling,Yorba Linda,714-692-2502,92887,"23681 La Palma Ave, Suite B",CA,http://www.fenixcycling.com,,USA,USA
Moab Classic Bike,Moab,(310) 756-2389,84532,69 E. CENTER STREET,UT,,,USA,USA
Murfreesboro Outdoor and Bicycling,Franklin,(615) 807-2035,37064,109 Del Rio Pike Suite 105,TN,,,USA,USA
Ultimate Pro Bikes,Countryside,708.497.2375,60525,6558 Joliet Road,IL,http://www.ultimateprobikes.com,,USA,USA
KLM Bike and Fitness,Birmingham,248-645-2453,48009,33600 Woodward Avenue,MI,,,USA,USA
The Cyclery Bike Shop,La Mirada,562-943-2453,90638,15037 E Imperial Hwy,CA,http://thecyclerybikeshop.com,,USA,USA
Cal Coast Bicycles,San Diego,619-281-7433,92116,3020 Adams Ave.,CA,http://calcoastbicycles.com,,USA,USA
Cycle Dynamics,Westport,(203) 226 3790,6880,971 Post Road East,CT,,cyedye@yahoo.com,USA,USA
Speed Merchants Bicycle Shop,Rockford,616-866-2226,49341,106 E. Bridge St.,MI,http://www.speedmerchantsbikeshop.com,,USA,USA
